timestamp,gesture_type,landmark_0_x,landmark_1_x,landmark_2_x,landmark_3_x,landmark_4_x,landmark_5_x,landmark_6_x,landmark_7_x,landmark_8_x,landmark_9_x,landmark_10_x,landmark_11_x,landmark_12_x,landmark_13_x,landmark_14_x,landmark_15_x,landmark_16_x,landmark_17_x,landmark_18_x,landmark_19_x,landmark_20_x,landmark_0_y,landmark_1_y,landmark_2_y,landmark_3_y,landmark_4_y,landmark_5_y,landmark_6_y,landmark_7_y,landmark_8_y,landmark_9_y,landmark_10_y,landmark_11_y,landmark_12_y,landmark_13_y,landmark_14_y,landmark_15_y,landmark_16_y,landmark_17_y,landmark_18_y,landmark_19_y,landmark_20_y,angle_index,angle_middle,angle_ring,angle_pinky,angle_baseline1,angle_middle_to_ring,angle_base_middle_to_ring,angle_middle_to_baseline1,dis_index_tip_to_base,dis_middle_tip_to_base,dis_ring_tip_to_base,dis_pinky_tip_to_base,distancesAggregated,dirV_index_x,dirV_index_y,dirV_middle_x,dirV_middle_y,dirV_ring_x,dirV_ring_y,dirV_pinky_x,dirV_pinky_y,dirV_baseline1_x,dirV_baseline1_y,dirV_middle_base_x,dirV_middle_base_y,dirV_ring_base_x,dirV_ring_base_y
2,rock,0.39154062,0.41774869,0.44331709,0.45666519,0.46114725,0.40815288,0.45058790,0.44354239,0.42914605,0.38524589,0.43696243,0.42986998,0.41831627,0.37317666,0.42162284,0.41738695,0.40728411,0.36679995,0.40196681,0.40268928,0.39602125,0.60124886,0.57842636,0.56268221,0.57577682,0.59733927,0.49922955,0.54134291,0.56227219,0.56084359,0.52468300,0.58118492,0.58925635,0.57683575,0.56012434,0.61347306,0.61477751,0.59884667,0.59586751,0.63211221,0.63218272,0.62218672,149.65496732,172.35610316,156.06628672,46.62434923,0.00000000,31.57761012,0.22533698,172.35610316,0.10058862,0.06603160,0.02902210,0.03901985,0.09928183,0.31904178,-0.94774065,0.66008193,-0.75119361,0.95570949,-0.29431170,-0.99527096,-0.09713766,-0.75413699,0.65671714,-0.67517893,-0.73765399,-0.67227262,-0.74030367
2,rock,0.39132607,0.41696820,0.44248986,0.45626354,0.46104437,0.40805840,0.45077819,0.44281998,0.42788404,0.38479421,0.43705806,0.42910808,0.41692677,0.37247986,0.42154866,0.41661531,0.40566856,0.36578637,0.40145999,0.40147439,0.39395413,0.60312122,0.58007181,0.56405705,0.57774723,0.59968203,0.50107914,0.54348385,0.56342047,0.56108487,0.52611041,0.58297527,0.58994591,0.57706201,0.56111503,0.61545670,0.61583561,0.59899068,0.59655303,0.63393253,0.63360006,0.62292862,153.71266559,179.29269487,142.43997244,45.56891247,0.00000000,36.85272243,0.50473311,179.29269487,0.10091332,0.06617220,0.02703625,0.03619401,0.09908032,0.37073017,-0.92874062,0.75190074,-0.65927633,0.99706348,-0.07657951,-0.04325457,0.99906408,-0.74370502,0.66850792,-0.67669312,-0.73626519,-0.67018100,-0.74219770
2,rock,0.39002305,0.41534406,0.44065443,0.45531139,0.46099696,0.40768170,0.45026866,0.44265780,0.42783538,0.38400394,0.43645078,0.42880306,0.41654044,0.37126747,0.42033261,0.41565409,0.40461445,0.36429572,0.39982876,0.39989987,0.39231819,0.59640735,0.57345694,0.55926406,0.57472461,0.59698373,0.50041944,0.54408008,0.56419182,0.56289697,0.52576536,0.58386570,0.59112763,0.57918769,0.56077754,0.61576515,0.61582226,0.59923255,0.59609020,0.63380820,0.63348269,0.62337953,152.91655492,178.67069090,138.51078062,35.48839247,0.00000000,42.81852849,0.33002537,178.67069090,0.09976901,0.06243480,0.02934830,0.05345359,0.10873215,0.35393319,-0.93527071,0.72516063,-0.68857974,0.99992553,-0.01220408,-0.21342477,0.97695950,-0.74093965,0.67157161,-0.67006891,-0.74229890,-0.66578215,-0.74614618
2,rock,0.38817179,0.41244310,0.43717566,0.45245767,0.46017456,0.40721530,0.44915771,0.44141632,0.42702061,0.38376489,0.43563253,0.42745844,0.41525182,0.37074456,0.41910833,0.41347665,0.40202442,0.36277777,0.39788610,0.39738259,0.38966590,0.59242851,0.57085603,0.55765569,0.57187802,0.59101772,0.50110024,0.54466301,0.56413329,0.56142837,0.52533025,0.58164489,0.58912176,0.57754272,0.55856127,0.61214530,0.61207354,0.59524542,0.59245509,0.62894803,0.62887138,0.61904848,153.31366206,179.18161637,137.63905842,129.71320485,0.00000000,43.17932521,0.57737173,179.18161637,0.10347885,0.06433752,0.02943152,0.05551018,0.11149736,0.36946774,-0.92924356,0.73787545,-0.67493690,0.99991882,0.01274186,0.98860994,0.15050043,-0.74744031,0.66432898,-0.67746784,-0.73555239,-0.67002138,-0.74234180
2,rock,0.38763365,0.41093254,0.43569860,0.45130906,0.45967990,0.40626201,0.44728556,0.44070458,0.42710915,0.38290960,0.43422031,0.42765337,0.41592941,0.36977538,0.41759378,0.41306692,0.40180308,0.36170205,0.39625004,0.39731213,0.39065236,0.58564723,0.56569439,0.55376792,0.56712687,0.58396232,0.49879417,0.54348636,0.56487083,0.56287414,0.52244961,0.58127654,0.59173560,0.58219391,0.55514628,0.61075139,0.61194491,0.59565681,0.58894324,0.62624347,0.62701517,0.61769104,147.68179161,162.69978558,154.19387361,76.57782855,0.00000000,43.10634082,0.40163109,162.69978558,0.10067652,0.06297224,0.03832437,0.07110174,0.11855673,0.29413237,-0.95576469,0.53174616,-0.84690379,0.96695635,-0.25494199,-0.80900105,-0.58780720,-0.75954073,0.65045975,-0.65732230,-0.75360958,-0.65202355,-0.75819871
2,rock,0.38808757,0.41231066,0.43687138,0.45180207,0.45934382,0.40681615,0.44799700,0.44083771,0.42699948,0.38321617,0.43423447,0.42663512,0.41479152,0.36987847,0.41753870,0.41220537,0.40092951,0.36159745,0.39603776,0.39608818,0.38879281,0.58945447,0.56857830,0.55669266,0.57137793,0.59022653,0.49910206,0.54406667,0.56440711,0.56175619,0.52316689,0.58101362,0.59006625,0.57893759,0.55632538,0.61136883,0.61188751,0.59496772,0.59037179,0.62764782,0.62803638,0.61821091,150.14643562,170.76795205,144.79895628,123.36152175,0.00000000,44.43309167,0.52273460,170.76795205,0.10060522,0.06045224,0.02943676,0.06058875,0.11324202,0.33200815,-0.94327652,0.64295103,-0.76590729,0.99530427,-0.09679574,-0.12869532,-0.99168418,-0.75749972,0.65283549,-0.66145447,-0.74998533,-0.65458459,-0.75598877
2,rock,0.39030778,0.41444987,0.43939704,0.45311707,0.45763317,0.40790659,0.44938093,0.44117266,0.42655331,0.38396782,0.43536919,0.42690992,0.41487509,0.37077081,0.41913494,0.41336393,0.40237933,0.36314264,0.39792040,0.39733183,0.38988680,0.59273636,0.57113993,0.55855680,0.57403558,0.59510112,0.49935615,0.54376489,0.56403655,0.56246847,0.52378464,0.58203816,0.59098703,0.57941908,0.55753624,0.61307204,0.61355507,0.59664357,0.59185827,0.62966269,0.63001978,0.62016886,153.85809823,175.20341051,142.97013553,169.43139287,0.00000000,41.82645396,0.37289340,175.20341051,0.09547636,0.05650062,0.02565383,0.05547168,0.10919377,0.37531374,-0.92689783,0.68694823,-0.72670636,0.99651542,-0.08340876,0.85495003,-0.51871038,-0.74530854,0.66671971,-0.66163037,-0.74983015,-0.65673633,-0.75412028
2,rock,0.38885114,0.41511855,0.44083422,0.45420790,0.45795831,0.40878344,0.45002836,0.44262615,0.42821151,0.38446409,0.43496689,0.42833361,0.41717058,0.37078622,0.41833425,0.41476503,0.40495339,0.36327901,0.39774352,0.39899397,0.39257991,0.59597880,0.57359612,0.56067234,0.57624573,0.59930140,0.49764338,0.54129767,0.56217736,0.56125516,0.52169627,0.58169460,0.59126073,0.58008826,0.55641299,0.61364955,0.61486626,0.59863353,0.59182537,0.63119560,0.63159871,0.62160778,149.95489229,165.17254957,158.38913497,58.30235501,0.00000000,36.43831546,0.37118114,165.17254957,0.09875151,0.06109542,0.03070404,0.04872649,0.10376819,0.33414084,-0.94252316,0.56982407,-0.82176671,0.94651573,-0.32265768,-0.95176718,-0.30682118,-0.76114688,0.64857955,-0.64397081,-0.76505006,-0.63900108,-0.76920583
3,rock,0.38938689,0.41620135,0.44208446,0.45511779,0.45761293,0.40959740,0.45118776,0.44339865,0.42843398,0.38481134,0.43551126,0.42857376,0.41700834,0.37080377,0.41868696,0.41466936,0.40425223,0.36302215,0.39780831,0.39864829,0.39170307,0.59687877,0.57477224,0.56197828,0.57730770,0.59941059,0.49801248,0.54174161,0.56239015,0.56126636,0.52203232,0.58194393,0.59104377,0.57915705,0.55668885,0.61416638,0.61556089,0.59914380,0.59202206,0.63199300,0.63256472,0.62232584,150.17067612,166.82408472,159.63889834,73.74403774,0.00000000,33.53701694,0.44252750,166.82408472,0.09866792,0.06127106,0.02807408,0.04770635,0.10357725,0.35294633,-0.93564357,0.60628048,-0.79525089,0.94470913,-0.32790954,-0.82667820,-0.56267499,-0.77159079,0.63611921,-0.64598294,-0.76335185,-0.64006794,-0.76831832
3,rock,0.39067179,0.41662225,0.44169593,0.45498213,0.45891795,0.41068536,0.45100266,0.44291082,0.42810965,0.38593572,0.43575972,0.42864427,0.41721645,0.37209350,0.41886401,0.41496810,0.40475139,0.36429861,0.39809531,0.39897850,0.39211273,0.59283584,0.57100326,0.55886447,0.57572168,0.59897500,0.49733219,0.54224074,0.56222457,0.55987412,0.52191275,0.58153111,0.58888310,0.57638049,0.55656850,0.61337316,0.61338538,0.59634972,0.59161723,0.63088924,0.63043195,0.61975902,152.11847301,174.13780349,140.10520018,12.70090732,0.00000000,45.75699632,0.41946309,174.13780349,0.09824385,0.06151274,0.02858152,0.05310332,0.10795786,0.37531809,-0.92689608,0.69545272,-0.71857185,0.99999508,-0.00313634,-0.88802740,0.45979053,-0.76520801,0.64378312,-0.64126265,-0.76732145,-0.63562795,-0.77199554
