timestamp,gesture_type,landmark_0_x,landmark_1_x,landmark_2_x,landmark_3_x,landmark_4_x,landmark_5_x,landmark_6_x,landmark_7_x,landmark_8_x,landmark_9_x,landmark_10_x,landmark_11_x,landmark_12_x,landmark_13_x,landmark_14_x,landmark_15_x,landmark_16_x,landmark_17_x,landmark_18_x,landmark_19_x,landmark_20_x,landmark_0_y,landmark_1_y,landmark_2_y,landmark_3_y,landmark_4_y,landmark_5_y,landmark_6_y,landmark_7_y,landmark_8_y,landmark_9_y,landmark_10_y,landmark_11_y,landmark_12_y,landmark_13_y,landmark_14_y,landmark_15_y,landmark_16_y,landmark_17_y,landmark_18_y,landmark_19_y,landmark_20_y,angle_index,angle_middle,angle_ring,angle_pinky,angle_baseline1,angle_middle_to_ring,angle_base_middle_to_ring,angle_middle_to_baseline1,dis_index_tip_to_base,dis_middle_tip_to_base,dis_ring_tip_to_base,dis_pinky_tip_to_base,distancesAggregated,dirV_index_x,dirV_index_y,dirV_middle_x,dirV_middle_y,dirV_ring_x,dirV_ring_y,dirV_pinky_x,dirV_pinky_y,dirV_baseline1_x,dirV_baseline1_y,dirV_middle_base_x,dirV_middle_base_y,dirV_ring_base_x,dirV_ring_base_y
53,scissors,0.36704180,0.39339244,0.40400475,0.38743588,0.36870399,0.40113807,0.41893005,0.43136978,0.44000214,0.37779257,0.37128299,0.36412627,0.35747340,0.35821658,0.34790105,0.35195741,0.35626593,0.33959654,0.33127421,0.33712220,0.34352604,0.61035037,0.60237986,0.56559080,0.53303802,0.51483703,0.50331295,0.45840067,0.42523998,0.39822671,0.50099456,0.44173732,0.40451711,0.37507731,0.51459533,0.47861406,0.50758314,0.53299326,0.53778249,0.51420468,0.53208971,0.55115324,52.60773071,84.05458550,98.85849760,88.72290631,0.00000000,177.08691689,9.72820354,84.05458550,0.28580276,0.30000510,0.09951100,0.08115507,0.11067984,-0.35123410,0.93628767,0.18882188,0.98201135,-0.13867109,-0.99033849,-0.31078503,-0.95048023,-0.95717080,0.28952387,0.10919588,0.99402025,0.27558983,0.96127532
53,scissors,0.36666867,0.39309543,0.40378124,0.38718730,0.36857280,0.40072718,0.41847664,0.43082762,0.43954030,0.37746748,0.37074259,0.36349878,0.35705209,0.35807177,0.34780878,0.35185394,0.35626915,0.33967212,0.33123791,0.33690175,0.34330744,0.61025453,0.60229111,0.56574184,0.53276747,0.51457167,0.50335836,0.45833382,0.42519829,0.39851215,0.50115710,0.44170806,0.40442067,0.37506720,0.51501334,0.47782162,0.50598770,0.53119755,0.53853154,0.51471072,0.53170294,0.55031836,52.78789352,84.22428550,98.59678898,88.33535686,0.00000000,177.17892553,8.97287804,84.22428550,0.28596353,0.30058896,0.10182677,0.08214789,0.11074448,-0.34926710,0.93702321,0.19070445,0.98164750,-0.14215944,-0.98984377,-0.31621629,-0.94868712,-0.95747266,0.28852403,0.11240342,0.99366265,0.26600635,0.96397128
53,scissors,0.36637154,0.39259064,0.40331635,0.38681108,0.36803076,0.40026799,0.41842288,0.43072182,0.43938237,0.37707824,0.37078264,0.36364135,0.35716808,0.35778910,0.34777972,0.35203362,0.35634145,0.33953232,0.33100912,0.33640811,0.34235978,0.61120868,0.60165668,0.56546885,0.53238469,0.51503938,0.50346428,0.45781627,0.42476237,0.39816198,0.50147694,0.44183180,0.40473497,0.37534052,0.51559383,0.47761339,0.50515956,0.53027546,0.53946215,0.51445997,0.52985364,0.54786259,49.57297712,80.87895664,101.23870799,90.69023871,0.00000000,177.88233537,8.73875108,80.87895664,0.28597342,0.29973535,0.10355590,0.08602231,0.10990738,-0.34872909,0.93722357,0.18903339,0.98197066,-0.15261870,-0.98828515,-0.33096214,-0.94364403,-0.93958857,0.34230588,0.10496768,0.99447563,0.25483917,0.96698345
53,scissors,0.36688372,0.39287043,0.40326244,0.38707468,0.36904648,0.40033731,0.41850972,0.43094784,0.43981069,0.37704498,0.37084490,0.36378327,0.35747683,0.35774320,0.34768394,0.35142732,0.35539538,0.33944896,0.33079463,0.33611709,0.34204406,0.60971349,0.60024375,0.56481105,0.53227943,0.51442748,0.50242472,0.45754465,0.42464080,0.39784050,0.50047743,0.44144386,0.40461269,0.37484080,0.51441580,0.47686750,0.50430232,0.52959466,0.53767508,0.51293641,0.52682793,0.54347414,49.27058508,80.83147288,102.25230174,89.05806617,0.00000000,176.91622538,9.00189859,80.83147288,0.28594321,0.29996578,0.10328690,0.09027728,0.10988484,-0.35359399,0.93539900,0.18829999,0.98211156,-0.13519361,-0.99081920,-0.35778212,-0.93380509,-0.93956053,0.34238286,0.10445176,0.99452995,0.25877655,0.96593721
53,scissors,0.36735871,0.39300418,0.40356869,0.38732880,0.36929917,0.40047535,0.41880423,0.43132108,0.44032758,0.37731090,0.37106627,0.36472020,0.35918200,0.35810167,0.34797916,0.35167703,0.35569376,0.33983707,0.33052367,0.33528119,0.34099108,0.60842764,0.59907043,0.56359100,0.53142387,0.51421863,0.50159907,0.45664933,0.42387193,0.39770851,0.49993953,0.44053763,0.40279883,0.37235907,0.51420891,0.47673038,0.50218910,0.52594084,0.53771430,0.51263404,0.52494144,0.54042488,49.05399616,79.50001629,101.78101756,88.91101886,0.00000000,178.71896615,9.11309998,79.50001629,0.28656446,0.30354613,0.10705585,0.09372744,0.11064131,-0.35674757,0.93420082,0.16582964,0.98615442,-0.14374133,-0.98961529,-0.36055685,-0.93273724,-0.93942121,0.34276491,0.10454897,0.99451974,0.26074515,0.96540767
53,scissors,0.36685690,0.39305866,0.40351892,0.38689196,0.36834753,0.40138444,0.41977006,0.43224430,0.44117466,0.37843156,0.37191114,0.36532244,0.35960549,0.35934800,0.34868994,0.35310227,0.35772222,0.34111422,0.33155596,0.33635721,0.34236890,0.60862750,0.59772211,0.56192386,0.52956277,0.51322627,0.50021601,0.45487422,0.42246777,0.39671615,0.49810246,0.43772525,0.39983651,0.36888352,0.51214802,0.47276524,0.49924612,0.52329820,0.53600621,0.50986302,0.52373695,0.54052776,46.34927140,77.26737740,103.13759277,93.50867888,0.00000000,179.59502983,8.97931372,77.26737740,0.28290548,0.30216565,0.10811137,0.09116957,0.10904813,-0.35923545,0.93324696,0.17132482,0.98521460,-0.16435704,-0.98640091,-0.32703317,-0.94501286,-0.92322713,0.38425469,0.10737042,0.99421909,0.26123015,0.96527654
53,scissors,0.36780304,0.39432511,0.40434709,0.38741845,0.36934066,0.40166211,0.41994125,0.43251997,0.44164377,0.37850562,0.37197709,0.36561134,0.35995600,0.35948226,0.34841529,0.35323066,0.35818940,0.34151793,0.33205664,0.33712047,0.34338397,0.60810262,0.59582174,0.55980843,0.52811724,0.51183462,0.49849588,0.45383942,0.42163008,0.39592236,0.49663541,0.43719387,0.39903703,0.36819819,0.51078230,0.47146899,0.49618486,0.51940995,0.53485435,0.50805467,0.52140087,0.53818029,43.82163714,74.62528207,103.82143198,94.06838921,0.00000000,178.44671405,9.45454774,74.62528207,0.28087778,0.30009493,0.11153528,0.09259622,0.10776368,-0.36377409,0.93148720,0.16455677,0.98636761,-0.19123341,-0.98154459,-0.35474499,-0.93496310,-0.90743892,0.42018401,0.10917455,0.99402259,0.27097481,0.96258644
53,scissors,0.36852112,0.39438802,0.40482718,0.38872880,0.37077680,0.40215087,0.41981006,0.43223676,0.44128075,0.37911582,0.37251729,0.36589211,0.35979789,0.36009881,0.35004190,0.35503036,0.35993606,0.34211963,0.33352208,0.33927870,0.34590489,0.60453206,0.59390825,0.55834794,0.52660954,0.51017189,0.49743694,0.45304734,0.42091784,0.39456949,0.49478665,0.43714306,0.40013298,0.37062147,0.50812566,0.47091547,0.49715725,0.52168614,0.53143847,0.50630075,0.52165163,0.54000401,46.52657374,77.82054096,101.56519878,91.77231678,0.00000000,179.38573974,8.59386220,77.82054096,0.28215978,0.29722063,0.10575912,0.08682303,0.10800916,-0.36072850,0.93267087,0.17620905,0.98435277,-0.18675183,-0.98240712,-0.35112543,-0.93632843,-0.92502096,0.37991607,0.11372851,0.99351186,0.26091152,0.96536272
53,scissors,0.36953416,0.39538580,0.40600973,0.39009601,0.37229478,0.40256500,0.42001051,0.43218797,0.44101867,0.37928218,0.37303168,0.36616749,0.35989863,0.36030722,0.35058561,0.35515445,0.35994294,0.34251392,0.33392271,0.33957940,0.34637547,0.60354596,0.59307605,0.55762070,0.52518862,0.50869536,0.49722415,0.45217356,0.41981399,0.39298919,0.49399659,0.43679771,0.39984855,0.37041488,0.50692534,0.47107345,0.49717182,0.52165657,0.53006822,0.50576401,0.52092141,0.53907675,47.32986272,78.47613919,102.11823031,91.58254939,0.00000000,179.40563050,8.93517011,78.47613919,0.28305002,0.29701361,0.10495226,0.08719921,0.10813713,-0.35220413,0.93592321,0.18264888,0.98317821,-0.17244003,-0.98502002,-0.34964166,-0.93688351,-0.92687004,0.37538238,0.10862995,0.99408226,0.26170937,0.96514673
53,scissors,0.37270528,0.39759851,0.40680879,0.39040443,0.37278348,0.40286627,0.42093927,0.43314594,0.44203359,0.37995487,0.37324423,0.36676782,0.36084229,0.36134571,0.35118788,0.35636196,0.36138409,0.34411389,0.33472505,0.34035870,0.34700266,0.60356182,0.59068489,0.55560821,0.52491277,0.51007789,0.49550590,0.45119768,0.41903850,0.39194873,0.49357620,0.43683675,0.39936048,0.36847427,0.50782341,0.47130504,0.49516997,0.51776618,0.53257400,0.50777346,0.52035767,0.53631365,41.86280541,72.45272746,105.11913901,93.23498268,0.00000000,177.57186646,8.79914566,72.45272746,0.28283460,0.29897344,0.10991689,0.09144056,0.10773082,-0.35486680,0.93491687,0.17028932,0.98539411,-0.21188387,-0.97729485,-0.40860018,-0.91271348,-0.88820130,0.45945451,0.11745268,0.99307848,0.26798265,0.96342374
